id,image_url,permalink
1,https://us-east-1.tchyn.io/snopes-production/uploads/2018/07/not-the-same-person.jpg?w=960 960w,https://www.snopes.com/fact-check/teenage-daughter-shirt-pregnant/
2,https://us-east-1.tchyn.io/snopes-production/uploads/2018/07/not-maria-butina.jpg?w=738 738w,https://www.snopes.com/fact-check/accused-russian-spy-mariia-butina-photographed-oval-office/
4,https://us-east-1.tchyn.io/snopes-production/uploads/2018/07/bear-photoshop.jpg?w=1539 1539w,https://www.snopes.com/fact-check/bear-attack-photo/
5,https://us-east-1.tchyn.io/snopes-production/uploads/2018/07/cow-crusher-maybe.jpg?w=443 443w,https://www.snopes.com/fact-check/image-of-cow-crusher-device/
6,https://us-east-1.tchyn.io/snopes-production/uploads/2018/07/melting-cars.jpg?w=1002 1002w,https://www.snopes.com/fact-check/cars-melting-in-arizona-heat-wave/
7,https://us-east-1.tchyn.io/snopes-production/uploads/2018/07/car-crashes.jpg?w=600 600w,https://www.snopes.com/fact-check/video-8-supernatural-car-crashes/
8,https://us-east-1.tchyn.io/snopes-production/uploads/2018/07/optical-illusion-hallway.jpg?w=736 736w,https://www.snopes.com/fact-check/hallway-stop-running/
9,https://us-east-1.tchyn.io/snopes-production/uploads/2018/07/Gareth-Southgate.jpg?w=1200 1200w,https://www.snopes.com/fact-check/gareth-southgate-waistcoat/
10,https://us-east-1.tchyn.io/snopes-production/uploads/2018/06/octopus-fallen-from-the-sky.jpg?w=591 591w,https://www.snopes.com/fact-check/octopus-fall-sky-china/
11,https://us-east-1.tchyn.io/snopes-production/uploads/2018/07/denver-protest.jpg?w=506 506w,https://www.snopes.com/fact-check/girls-trump-tshirts-rally/
12,https://us-east-1.tchyn.io/snopes-production/uploads/2018/07/sugar-free-sugar.jpg?w=500 500w,https://www.snopes.com/fact-check/sugar-free-sugar/
13,https://us-east-1.tchyn.io/snopes-production/uploads/2018/06/15107458_1164401370261562_5653070303901265587_n.jpg?w=960 960w,https://www.snopes.com/fact-check/trump-protesters-assassinate-republicans/
14,https://us-east-1.tchyn.io/snopes-production/uploads/2018/06/basil-karlo.jpg?w=500 500w,https://www.snopes.com/fact-check/was-child-expelled-trump-costume/
15,https://us-east-1.tchyn.io/snopes-production/uploads/2018/06/remote-alligator.jpg?w=600 600w,https://www.snopes.com/fact-check/did-man-save-friend-from-reptilian-attack/
16,https://us-east-1.tchyn.io/snopes-production/uploads/2018/06/not-america.png?w=883 883w,https://www.snopes.com/fact-check/are-these-women-protesting-trump/
17,https://us-east-1.tchyn.io/snopes-production/uploads/2018/06/not-king-of-the-netherlands.jpg?w=605 605w,https://www.snopes.com/fact-check/did-king-tell-trump-hague/
18,https://us-east-1.tchyn.io/snopes-production/uploads/2018/06/obama-cages.jpg?w=734 734w,https://www.snopes.com/fact-check/obama-dont-separate-mommy-protest-sign-real/
19,https://us-east-1.tchyn.io/snopes-production/uploads/2018/06/i-dont-really-care-do-u.jpg?resize=821,https://www.snopes.com/fact-check/melania-trump-wear-jacket-visiting-children-separated-families/
20,https://us-east-1.tchyn.io/snopes-production/uploads/2018/06/2014-obama-separated-kids.jpg?w=909 909w,https://www.snopes.com/fact-check/are-these-children-separated-by-obama/
21,https://us-east-1.tchyn.io/snopes-production/uploads/2018/06/elian.png?w=719 719w,https://www.snopes.com/fact-check/is-photograph-border-agents-separating-children/
22,https://us-east-1.tchyn.io/snopes-production/uploads/2018/06/drudge-report.jpg?w=1614 1614w,https://www.snopes.com/fact-check/gun-toting-children-photographed-united-states-border/
23,https://us-east-1.tchyn.io/snopes-production/uploads/2018/06/lake-kawagauchi.jpg?w=554 554w,https://www.snopes.com/fact-check/is-this-lake-kawaguchi/
24,https://us-east-1.tchyn.io/snopes-production/uploads/2018/06/live-wax-figures.jpg?w=900 900w,https://www.snopes.com/fact-check/meghan-harry-royal-robots/
27,https://us-east-1.tchyn.io/snopes-production/uploads/2018/06/35050666_2064282013614545_1849759388374401024_n.jpg?w=720 720w,https://www.snopes.com/fact-check/toddler-cage-photo/
28,https://us-east-1.tchyn.io/snopes-production/uploads/2018/06/charlie-chaplin-collage.jpg?w=3079 3079w,https://www.snopes.com/fact-check/distracted-boyfriend-meme-come-real-movie/
29,https://us-east-1.tchyn.io/snopes-production/uploads/2018/06/immigrant-children-orange-jumpsuits.jpg?w=640 640w,https://www.snopes.com/fact-check/are-children-orange-jumpsuits/
30,https://us-east-1.tchyn.io/snopes-production/uploads/2018/06/the-donald.jpg?w=1449 1449w,https://www.snopes.com/fact-check/justin-trudeaus-eyebrow/
32,https://us-east-1.tchyn.io/snopes-production/uploads/2018/06/derrell-hudson.jpg?w=496 496w,https://www.snopes.com/fact-check/was-texting-driver-found-clutching-phone/
33,https://us-east-1.tchyn.io/snopes-production/uploads/2018/06/not-starbucks-sign.jpg?w=598 598w,https://www.snopes.com/fact-check/sign-starbucks-racial-bias-training-single-white-people/
35,https://us-east-1.tchyn.io/snopes-production/uploads/2018/05/fake-photo.jpg?w=573 573w,https://www.snopes.com/fact-check/is-this-alberto-approaching-pensacola-beach/
36,https://us-east-1.tchyn.io/snopes-production/uploads/2018/05/boned-rolled-pig-1.jpg?w=612 612w,https://www.snopes.com/fact-check/did-stores-sell-boned-rolled-pig/
37,https://us-east-1.tchyn.io/snopes-production/uploads/2018/05/kidsprison.jpg?w=900 900w,https://www.snopes.com/fact-check/childrens-concentration-camp/
38,https://us-east-1.tchyn.io/snopes-production/uploads/2018/05/fb-post.jpg?w=555 555w,https://www.snopes.com/fact-check/did-woman-abandon-son/
