id,claim,rating,image_url,permalink,publish_date
1,"A photograph showing a teenager in a ""stay clear boys"" shirt and a second image of a pregnant woman feature the same person.",false,"['https://us-east-1.tchyn.io/snopes-production/uploads/2018/07/not-the-same-person.jpg?w=960 960w', 'https://us-east-1.tchyn.io/snopes-production/uploads/2018/07/joke-daughter.jpg?w=720 720w']",https://www.snopes.com/fact-check/teenage-daughter-shirt-pregnant/,2018-07-17T14:37:03+00:00
2,A photograph shows accused Russian spy Mariia Butina in an Oval Office meeting with President Trump.,false,"['https://us-east-1.tchyn.io/snopes-production/uploads/2018/07/not-maria-butina.jpg?w=738 738w', 'https://us-east-1.tchyn.io/snopes-production/uploads/2018/07/butina-collage.jpg?w=602 602w', 'https://us-east-1.tchyn.io/snopes-production/uploads/2018/07/cari-lutkins.jpg?w=600 600w']",https://www.snopes.com/fact-check/accused-russian-spy-mariia-butina-photographed-oval-office/,2018-07-17T08:51:36+00:00
3,A video shows a German newscaster laughing at President Trump's statements at a NATO summit.,false,[],https://www.snopes.com/fact-check/german-news-trump-nato/,2018-07-16T10:47:36+00:00
4,A photograph documents a scary moment when a bear got dangerously close to an oblivious fisherman.,false,['https://us-east-1.tchyn.io/snopes-production/uploads/2018/07/bear-photoshop.jpg?w=1539 1539w'],https://www.snopes.com/fact-check/bear-attack-photo/,2018-07-12T13:01:00+00:00
5,"A photograph shows a ""cow crusher,"" a device designed to literally crush cows.",false,"['https://us-east-1.tchyn.io/snopes-production/uploads/2018/07/cow-crusher-maybe.jpg?w=443 443w', 'https://us-east-1.tchyn.io/snopes-production/uploads/2018/07/cattle-turnover-crate.jpg?w=1100 1100w']",https://www.snopes.com/fact-check/image-of-cow-crusher-device/,2018-07-12T10:21:03+00:00
6,"Photographs show cars that started to ""melt"" due to extremely hot weather in Arizona.",miscaptioned,"['https://us-east-1.tchyn.io/snopes-production/uploads/2018/07/melting-cars.jpg?w=1002 1002w', 'https://us-east-1.tchyn.io/snopes-production/uploads/2018/07/melted-elantra.jpg?w=1000 1000w']",https://www.snopes.com/fact-check/cars-melting-in-arizona-heat-wave/,2018-07-10T10:59:26+00:00
7,A video shows a series of supernatural car accidents in which the vehicles can be seen crashing into nothing.,false,['https://us-east-1.tchyn.io/snopes-production/uploads/2018/07/car-crashes.jpg?w=600 600w'],https://www.snopes.com/fact-check/video-8-supernatural-car-crashes/,2018-07-09T11:38:50+00:00
8,A photograph shows an optical illusion on the floor of a school hallway that was designed to prevent children from running.,miscaptioned,"['https://us-east-1.tchyn.io/snopes-production/uploads/2018/07/optical-illusion-hallway.jpg?w=736 736w', 'https://us-east-1.tchyn.io/snopes-production/uploads/2018/07/tile-hallway.jpg?w=1624 1624w']",https://www.snopes.com/fact-check/hallway-stop-running/,2018-07-07T08:24:25+00:00
9,"A photograph shows Gareth Southgate wearing a waistcoat with the words ""It's Coming Home"" repeatedly written on it.",false,"['https://us-east-1.tchyn.io/snopes-production/uploads/2018/07/Gareth-Southgate.jpg?w=1200 1200w', 'https://us-east-1.tchyn.io/snopes-production/uploads/2018/07/gareth-southgate.jpg?w=1743 1743w']",https://www.snopes.com/fact-check/gareth-southgate-waistcoat/,2018-07-06T10:43:03+00:00
10,A photograph shows an octopus that fell from the sky in China during a storm.,false,"['https://us-east-1.tchyn.io/snopes-production/uploads/2018/06/octopus-fallen-from-the-sky.jpg?w=591 591w', 'https://us-east-1.tchyn.io/snopes-production/uploads/2018/06/chinese-shrimp.jpg?w=550 550w', 'https://us-east-1.tchyn.io/snopes-production/uploads/2018/06/octopus-fake.jpg?w=1000 1000w']",https://www.snopes.com/fact-check/octopus-fall-sky-china/,2018-07-05T07:42:45+00:00
